contract_id,seam,fixture_or_input,go_oracle,rust_test,platforms,comparison,status
SEC-005,security,"guard doctor output frozen from the production command with injected HOME/XDG over 7 scenarios (empty machine, healthy config, invalid TOML, missing/corrupt audit anchor, discovered server denied, discovered server with literal secret); paths and the Go toolchain line are placeholders, so the Go: line is an accepted difference",guard/scripts/guard-doctor-oracle,rust/symbrain-guard-core/tests/fixtures/doctor_oracle.json,all,bytes-with-accepted-toolchain-line,fixture-ready
DIST-001,distribution,archive and binary names,current release,pending,all,artifact-manifest,pending
DIST-002,distribution,checksums signatures SBOM Homebrew,current release,pending,all,artifact-manifest,pending
GUI-001,Swift client,version and command JSON schemas,target/go/symbrain-go,pending,macos-ios,parsed-json,pending
HAR-001,harness,exact nine-entry registry and injected Darwin/Linux/Windows config paths,internal/harness/registry_test.go;internal/harness/testdata,rust/symbrain-harness/tests/harness_tests.rs,all,registry-and-filesystem-manifest,fixture-ready
HAR-002,harness,entry classification and server inventory transport/env redaction,internal/harness/entry_test.go;internal/harness/serverinfo_test.go,rust/symbrain-harness/tests/harness_tests.rs,all,semantic,fixture-ready
HAR-003,harness,ordered JSON unknown-field duplicate-key numeric-lexeme and golden mutation behavior,internal/harness/testdata/golden,rust/symbrain-harness/tests/harness_tests.rs,all,bytes,fixture-ready
HAR-004,harness,TOML document parsing mutation and golden behavior,internal/harness/testdata/golden,rust/symbrain-harness/tests/harness_tests.rs,all,bytes,fixture-ready
HAR-005,harness,atomic timestamped backups permissions and bounded unified diffs,internal/harness/backup_test.go;internal/harness/diff_test.go,rust/symbrain-harness/tests/harness_tests.rs,all,bytes-and-filesystem-manifest,fixture-ready
HAR-006,harness,read-only inventory missing/malformed configs and profile bindings,internal/harness/inventory_test.go,rust/symbrain-harness/tests/harness_tests.rs,all,semantic-and-redaction,fixture-ready
INS-001,instructions,first managed block replace absent append begin-only malformed/multiple markers CRLF arbitrary bytes and prefix-code reserved-marker escaping with sentinel and collision proofs,scripts/instructions-oracle,rust/symbrain-instructions/tests/instruction_tests.rs,all,raw-bytes,fixture-ready
INS-002,instructions,global absolute XDG source project path direct concatenation missing-file behavior bounded regular-file/no-follow reads deterministic symlink/directory/per-file/merged-limit verdicts with exact normalized Go/Rust diagnostics and `instructions: read <path>:` wrapper,scripts/instructions-oracle,rust/symbrain-instructions/tests/instruction_tests.rs,macos;linux;windows-static,raw-bytes-and-exact-diagnostics,green-unix-windows-static-native-runtime-unclaimed
ADR-001,adapter,Agents managed block with existing prefix/suffix malformed markers CRLF/non-UTF-8 and marker-bearing content,scripts/adapters-oracle,rust/symbrain-adapter/tests/adapter_tests.rs,macos;linux;windows-static,raw-bytes-and-path,green-unix-windows-static-native-runtime-unclaimed
ADR-002,adapter,Claude pointer plus managed block for fresh and existing CLAUDE.md targets,scripts/adapters-oracle,rust/symbrain-adapter/tests/adapter_tests.rs,macos;linux;windows-static,raw-bytes-and-path,green-unix-windows-static-native-runtime-unclaimed
ADR-003,adapter,Cursor fixed YAML header plus managed block at .cursor/rules/symbrain.mdc,scripts/adapters-oracle,rust/symbrain-adapter/tests/adapter_tests.rs,macos;linux;windows-static,raw-bytes-and-path,green-unix-windows-static-native-runtime-unclaimed
ADR-004,adapter,Antigravity managed block in GEMINI.md with existing-byte preservation,scripts/adapters-oracle,rust/symbrain-adapter/tests/adapter_tests.rs,macos;linux;windows-static,raw-bytes-and-path,green-unix-windows-static-native-runtime-unclaimed
ADR-005,adapter,registry-derived skips for Claude Desktop OpenCode Codex Hermes and OpenClaw,scripts/adapters-oracle,rust/symbrain-adapter/tests/adapter_tests.rs,all,registry-and-skips,fixture-ready
SKL-001,skills model and variants,tracked Go render source fixtures for frontmatter manifest resources overlays markers malformed cases and target resolution,scripts/skills-oracle,rust/symbrain-skills/tests,all,semantic-and-bytes,fixture-ready
SKL-002,skills install,Phase 7.3A user-scope OpenCode copy install marker/base snapshots custom BaseDir executable policy dry-run and atomic failure behavior,scripts/skills-install-oracle,rust/symbrain-skills/tests/install_tests.rs,macos;linux;windows-static,filesystem-and-marker-bytes,fixture-ready
SKL-003,skills status,Phase 7.3A deterministic status scan with managed/unmanaged/orphaned entries malformed/legacy markers and three-way stale harness-changed conflict converged added/deleted drift,scripts/skills-install-oracle,rust/symbrain-skills/tests/install_tests.rs,macos;linux;windows-static,semantic-and-drift-files,fixture-ready
USE-001,usage,native report for Claude Codex Copilot Cursor Kimi Moonshot Nous OpenCode OpenRouter Antigravity with provider-specific request/auth/error fixtures reset timestamps Copilot entitlement math Moonshot region/currency OpenCode workspace and Antigravity local probe,scripts/usage-oracle,rust/symbrain-usage/tests/usage_tests.rs;rust/symbrain-cli/src/usage_cli.rs,macos;linux;windows-native-unclaimed,semantic-json-table-and-request-fixtures,green-focused-full-gate-blocked-disk-space
